job_item_name,job_item_comapny,job_item_area,job_item_experience,job_item_degree,job_item_salary,job_item_description
業務工程師Presale【商用事業處】,三井資訊股份有限公司,桃園市桃園區,1年以上,大學,待遇面議,1、處理客戶提出產品相關的技術問題，提供客戶售前技術支援。 2、理解潛在客戶的需求與分析，設計解決方案POC及方案建議書。 3、提供客戶產品的基礎知識訓練。
【總行單位】資深會計業務分析師(Business Analyst)(經驗行員),玉山銀行_玉山商業銀行股份有限公司,新北市三重區,2年以上,大學,待遇面議,1. 系統建置或導入之專案管理。 2. 進行需求訪談，分析業務流程，歸納業務邏輯，設計系統功能，並予以文件化。 3. 溝通協調各種需求解決方案，進行需求排序，做利害關係人管理。 4. 規劃測試計劃及測試案例、使用者教育訓練，並引導系統使用者測試與功能驗收。 5. 進行跨部門溝通協調，管控專案進度、品質，負責專案之規劃、執行及控管專案風險。 104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！ 【網址：https://esnhr.pse.is/394b2n】
系統設計師【資訊加值服務部】,華經資訊企業股份有限公司,台北市內湖區,3年以上,大學,待遇面議,1、系統設計。 2、專案文件撰寫 。
資深電玩程式設計師(伺服器端),京群超媒體股份有限公司,新北市中和區,3年以上,大學,待遇面議,1. 使用 Lua/C++ 開發遊戲與維護 2. 與 Client 程式人員配合製作連線功能 3. 編寫常態活動相關功能
XS_5G Platform Engineer,盟創科技股份有限公司(合勤企業集團),新竹市,3年以上,大學,待遇面議,"[Position] XSQUARE is looking for embedded Linux platform engineer for 5G networking product/module development team (AP team). As part of the team, you will learn a lot of computer networking and embedded Linux (kernel and bootloader) knowledge and technologies, and also you will join the newest 5G products development. If you have passionate about c programming on embedded Linux, AP team also provide opportunity to improve your coding skill (Leet code study event). [Job content] •co-work with HW RD for interface/gpio definition •write Unit test for I/O interfaces verification •Validate the SDK/Tarball from IC vendor •Release SDK which can be developed by Application Team. [Mandatory] •BS in Computer Science or related discipline, or equivalent work experience. •3-5 years experience working on embedded Linux. •Strong skill in C programming •shell scripts •GIT commands and source code control concept •Makefile [Optional] •Concept of Computer Networking, e.g. Firewall, NAT, router functions Preferred Qualifications •familiar with Docker command •has experiences working on OpenWRT and YOCTO •familiar with AP router functions •has experience on embedded Linux kernel development, e.g. driver porting, bootloader, performance tuning."
Android 資深工程師,雲端行動科技股份有限公司,台北市大同區,3年以上,大學,待遇面議,"「雲端發票」APP之開發廠商。本職缺主要負責開發雲端發票APP、行動商務相關APP及其他衍生 App。 熟悉Android SDK及Studio。 熟悉 Java, Git, Restful API calling。 資工資管通訊相關科系大學/研究所畢業."
【大安】ETL 工程師,中華系統整合股份有限公司,台北市大安區,2年以上,專科,待遇面議,1.熟悉Windows/Unix/Linux OS/CentOS Shell或Batch程式撰寫。 2.熟悉SQL程式撰寫，具備MPP架構經驗尤佳或資料模型設計經驗尤佳。 3.熟悉ETL，具ETL套裝軟體(Trinity、Informatica、DataStage、SSIS等)開發經驗尤佳。 4.具備Hadoop生態系統、Greenplum、Vertica、Teradata經驗尤佳。 5.至少1-3需符合兩項以上。
Android APP資深軟體工程師 / 軟體工程師,康聯訊科技股份有限公司,新北市汐止區,經歷不拘,大學,待遇面議,"1. Android app development to control, configure and diagnose network devices 2. App submission and maintenance 3. Solve issue and improve app based on customer feedback ❖需求條件： 1. Familiar with Java and Android SDK framework 2. Familiar with restful API and network communication programming 3. Familiar with Git flow 4. Familiar with Android app submission flow 5. Good sense with Android UX design in flow and usability, and Android UI design guidelines 6. At least 3 years android app development experience The following experience would be a plus: 1. Familiar with network device operation, especially app development experience for Wi-Fi router 2. Familiar with cloud based communication and service integration ❖CTS 主要提供光纖到家FTTH (Fiber To The Home)完整解決方案及光纖城域網設備。 產品包含光纖骨幹網路級家用型交換機、IP多媒體轉換閘道器、光纖轉換器、輕工規&工規解決方案。 ❖官網 www.ctsystem.com"
【技術部】數位出版系統工程師,聯合線上股份有限公司,新北市汐止區,經歷不拘,專科,待遇面議,1. 開發數位出版相關（電子書、電子雜誌、電子報紙、線上小說）系統。 2. 針對數位資料以版權保護（DRM）系統進行保護。 3. 透過API與多種載具（WEB、APP）進行資料介接。 4. 開發並維護線上金流交易系統。 5. 該職務，會依實際求職者之相關工作經歷議定薪資。
【eMD】資深. Net程式設計師,巨鷗科技股份有限公司,台中市西屯區,3年以上,專科,待遇面議,1. 使用 ASP.NET (C#)、JavaScript、AJAX 開發WEB系統。 2. 開發網站前、後台 3. 外部Api 串接 4. 了解WebService及API概念、知悉RESTful軟體架構 5. 掌握程式碼品質及可維護性 6. 對技術有熱忱與求知慾 7. 積極主動、樂觀、良好溝通能力及享受團隊合作。 <面試時，請準備作品集>
